,0,1,2,3,4,5
tenure,0.2324772628594196,0.5087543870247077,0.6985469464550828,-0.04269815688244052,-0.1625014342143706,-0.06706989628922216
age,0.15670557032463583,0.46084122730591376,0.4497962589507121,0.4133330167771395,0.16023230914539432,0.13351701157050314
income,0.26868131282980856,0.24416298557456861,0.2802787418242139,0.720352303401028,0.24571132179465496,0.11733655430042383
tollfree,0.7177653692185507,0.26838018451412865,-0.34048414218909046,0.0360663476863771,-0.22704747648902956,0.161008366902399
equip,0.3184026019158378,-0.7665910325420809,0.24240489338020288,-0.02368706975824972,-0.07641073003197148,0.3466031968400942
callcard,0.525600938776887,0.42871010820056604,0.2594433168426857,-0.38803190280315797,0.34889933844281146,0.16656924657321176
wireless,0.7835271238231325,-0.3286550992869884,-0.01010185591835814,0.020178006071159844,0.15811081066551014,-0.33024551570292277
multline,0.29469648765049555,-0.15494994351965344,0.6133155136255185,-0.053620656219558006,-0.4630930278585631,-0.19532893582162322
voice,0.6777604281109394,-0.292770137101831,-0.014210064491648714,0.022414890354537614,0.15369681619251693,-0.23191179769628856
pager,0.7029941812930732,-0.3147166258760294,-0.0415762433386387,0.06594384060699367,0.09297455916307672,-0.26196694464318976
internet,0.3063538412826496,-0.6743058826152841,0.19715804170283338,-0.010307903298747615,0.0058615100851737165,0.19682966507436053
callid,0.7024274017059194,0.22919568099986778,-0.3296270524769641,0.03238385659664203,-0.041674390544601925,0.12382532305347878
callwait,0.6964209279471841,0.25944578495724274,-0.3227788195078075,-0.006176184820232781,-0.15205192592914477,0.07826972253547165
forward,0.6980374611757618,0.23176109225219182,-0.29621656396528395,-0.027376513297700054,-0.05944199337979163,0.12464772757764943
confer,0.685968964161374,0.2557241954142213,-0.2547571215349441,0.035583406658370106,-0.07932889595852503,0.0829033429918533
longmon,0.21812417404968662,0.47660302753142003,0.6470921809568067,-0.06818633397589234,-0.23849837354372974,-0.0579001881074343
tollmon,0.746059148654439,0.3540421655091876,-0.2043549178325675,0.05949078278439198,-0.24092821695045255,0.049081811050456496
equipmon,0.4812370377859052,-0.7206251172956726,0.2590638532264287,-0.031862454792644164,-0.04728601555719542,0.2515557667558603
cardmon,0.4808318737242546,0.41066959598830843,0.32847357793087045,-0.4155122966735405,0.36792338924153084,0.119890932131286
wiremon,0.8208820932415979,-0.2945689544813551,0.062115247731356266,0.039187079003286926,0.11918075214541889,-0.34218552682114695
ebill,0.2291658506608526,-0.6824067695271859,0.19136477279553166,0.037156539152215465,0.011712892910486902,0.17395858302262884
